iter	RMSE
0	0.3825652293
1	0.3674020876
2	0.3531753702
3	0.3392823255
4	0.3267944033
5	0.3147314157
6	0.3033262748
7	0.2923013178
8	0.2818565771
9	0.2720926576
10	0.2631431622
11	0.254508432
12	0.2460043629
13	0.2381591698
14	0.2306926544
15	0.2238045681
16	0.2170369232
17	0.2109397277
18	0.2050968499
19	0.1998240076
20	0.1945762642
21	0.1898060581
22	0.1851075981
23	0.1807485258
24	0.1767188305
25	0.1731519231
26	0.1695917721
27	0.1663967403
28	0.1632569414
29	0.1604919699
30	0.1574562518
31	0.1550172025
32	0.1527017175
33	0.1504403497
34	0.1484240595
35	0.1465094285
36	0.1446481236
37	0.1428227571
38	0.141296915
39	0.1397732428
40	0.1382604113
41	0.1369887147
42	0.135742404
43	0.1345209366
44	0.1334893271
45	0.1324760039
46	0.1315272107
47	0.1306466138
48	0.1297970485
49	0.1290766163
50	0.1282353903
51	0.1275582542
52	0.126868494
53	0.1262974781
54	0.1256899922
55	0.1251969064
56	0.1247197856
57	0.1243025108
58	0.1238100072
59	0.1233583281
60	0.1229636405
61	0.1226713226
62	0.1223334278
63	0.1220100024
64	0.1217151669
65	0.1215136243
66	0.1212560282
67	0.1210147327
68	0.1207050446
69	0.120394654
70	0.1202048934
71	0.1200749581
72	0.1198823701
73	0.1197026694
74	0.1194495774
75	0.119223798
76	0.1190552239
77	0.1189187229
78	0.1187430356
79	0.118565221
80	0.1184404618
81	0.1182007612
82	0.1180815241
83	0.1179096307
84	0.1177161686
85	0.1174994156
86	0.1173768236
87	0.1172287673
88	0.1171098049
89	0.1169372067
90	0.1167023237
91	0.1165576505
92	0.1164160775
93	0.116321061
94	0.1161487968
95	0.1160125823
96	0.1157767419
97	0.1156225677
98	0.1155697042
99	0.1155026529
100	0.1154147804
101	0.115341712
102	0.1152280745
103	0.1151673094
104	0.1150737025
105	0.114971083
106	0.1149125675
107	0.1148026658
108	0.1146781495
109	0.1145827307
110	0.1144954826
